Course,Topic#,Topic,Check,Q#,Type,Question,Options,Configured correct answer,Critical,Needs confirmation
Standard Training,2,Product Series,Twistclips - Quiz,2,mcq,Is there a one type fits all Twistclip?,"Yes | No, there are different type of Twistclips - refer to the Outdure Catalogue","No, there are different type of Twistclips - refer to the Outdure Catalogue",,confirm technical accuracy
Standard Training,2,Product Series,Twistclips - Quiz,3,mcq,What image shows the twistclip?,Image 1  T Clip | Image 2   90 bracket | Image 3  Twistclip | Image 4  Joist anchor,Image 3  Twistclip,,IMAGE-based: needs product image; confirm correct image; confirm technical accuracy
Standard Training,2,Product Series,A194 / A195 Posts - Quiz,0,mcq,How many Outdure Post profiles are there?,10 | 2 | 6 | 3,2,,confirm technical accuracy
Standard Training,2,Product Series,A194 / A195 Posts - Quiz,1,multi_select,Which of the below Post sizes are available in the Outdure range?,"4x4"" / 90x90mm | 2x2"" / 45x45mm | 6x6"" / 135x135mm | 8x8"" / 180x180mm","4x4"" / 90x90mm | 6x6"" / 135x135mm",,confirm technical accuracy
Standard Training,2,Product Series,A900 supports - Quiz,0,mcq,What type of products are in the A900 series?,Turf | Tile | Pedestal supports | Aluminum profiles,Pedestal supports,,confirm technical accuracy
Standard Training,2,Product Series,A900 supports - Quiz,1,mcq,How many key products are in the A900 Supports series?,1 | 12 | 8 | 4,4,,confirm technical accuracy
Standard Training,2,Product Series,A900 supports - Quiz,2,true_false,You can stack A915 up to 1 foot / 300mm high,True | False,True,,confirm technical accuracy
Standard Training,2,Product Series,A900 supports - Quiz,3,mcq,What is the difference between A905 support and A910 support?,There is no difference | They can hold different weights | They are designed to suit different profiles | They accommodate different height ranges,They accommodate different height ranges,,confirm technical accuracy
Standard Training,2,Product Series,A900 supports - Quiz,4,mcq,What percentage can the A920 Slope corrector adjust to,3% | 5% | 7% | 10%,7%,,confirm technical accuracy
Standard Training,2,Product Series,A900 supports - Quiz,5,mcq,What is the purpose of A925 Protection Pad - Acoustic,To raise the height of the deck | To give a 'bouncy' feel to my deck | It is designed to provide extra acoustic insulation below my deck structure | It is designed to protect my pedestals from getting wet,It is designed to provide extra acoustic insulation below my deck structure,,confirm technical accuracy
Standard Training,2,Product Series,A900 supports - Quiz,6,true_false,Each support pedestal is designed to hold up to 1 tonne (point load),True | False,True,,confirm technical accuracy
